1668798600881,2800252,2800252,2800252,2800252,2800252
1668798600901,2800252,2536750,1840945,1251792,755423
1668798600920,334469,-34106,-348347,-608906,-831927
1668798600931,-1014123,-1171699,-1304542,-1419234,-1524481
1668798600958,-1616201,-1694599,-1760143,-1811128,-1851695
1668798600962,-1882466,-1914182,-1946548,-1980842,-2007630
1668798600966,-2023799,-2040233,-2049647,-2055177,-2059132
1668798600971,-2063613,-2079915,-2094743,-2102287,-2107704
1668798600975,-2105263,-2105920,-2104629,-2104214,-2111266
1668798600982,-2119319,-2123777,-2127117,-2125108,-2120408
1668798600986,-2112372,-2109734,-2113359,-2122335,-2126905
1668798600991,-2125535,-2127045,-2123625,-2117462,-2111672
1668798601000,-2108984,-2117112,-2124887,-2125745,-2125539
1668798601009,-2118790,-2115543,-2110836,-2108300,-2112999
1668798601019,-2118588,-2122188,-2124030,-2120941,-2115013
1668798601029,-2105245,-2101436,-2103832,-2111721,-2115075
1668798601039,-2112377,-2112731,-2108869,-2102273,-2095511
1668798601049,-2091790,-2098893,-2105183,-2104562,-2103999
1668798601061,-2096994,-2092709,-2086837,-2083507,-2088029
1668798601069,-2093048,-2096432,-2097925,-2094682,-2088559
1668798601080,-2079220,-2076925,-2081150,-2089714,-2093159
1668798601089,-2091356,-2089360,-2084876,-2077596,-2070264
1668798601100,-2066908,-2075285,-2082631,-2082762,-2082560
1668798601110,-2075389,-2071142,-2065815,-2063092,-2067259
1668798601123,-2072795,-2074147,-2077497,-2073965,-2067681
1668798601144,-2057998,-2053588,-2057688,-2066130,-2068538
1668798601147,-2066474,-2064597,-2058946,-2051162,-2044328
1668798601163,-2041568,-2050507,-2058913,-2059149,-2058612
1668798601185,-2051657,-2045940,-2040587,-2037689,-2042057
1668798601192,-2047441,-2048809,-2050172,-2046245,-2039401
1668798601202,-2029922,-2025096,-2028689,-2037129,-2040098
1668798601206,-2037638,-2036368,-2032475,-2025718,-2019026
1668798601211,-2016780,-2024857,-2032525,-2032471,-2031902
1668798601214,-2025036,-2019780,-2014863,-2011973,-2018020
1668798601221,-2024731,-2026343,-2028599,-2024868,-2018259
1668798601229,-2008885,-2004194,-2007856,-2017169,-2019463
1668798601240,-2017610,-2015982,-2011412,-2004098,-1997472
